ID	PP	logFC	P.adjusted
C6orf125	other	0.0005	1
C6orf126	other	-0.36821	0.739069263
C6orf127	other	-0.474623333	0.461329437
C6orf130	other	-0.13042	0.652905454
C6orf132	other	-0.129183333	0.796891884
C6orf136	other	-0.442553333	0.087214576
C6orf138	other	-0.22243	0.81597073
C6orf141	other	0.424853333	0.67482248
C6orf145	other	-0.09189	0.897937855
C6orf146	other	-0.071096667	0.298166644
C6orf147	other	0.112843333	0.889369625
C6orf15	other	0.42203	0.638059698
C6orf154	other	0.614053333	0.384412379
C6orf162	other	-0.061566667	0.901628963
C6orf163	other	-0.25419	0.642221809
C6orf164	other	-0.29947	0.57030647
C6orf165	other	-0.0603	0.998280714
C6orf168	other	1.160676667	0.013798668
C6orf170	other	0.18421	0.668662619
C6orf174	other	-0.23569	0.809029005
C6orf191	other	0.12143	0.645581406
C6orf192	other	-0.648763333	0.014155967
C6orf195	other	-0.189706667	0.652474443
C6orf201	other	0.318956667	0.565660892
C6orf203	other	-0.328686667	0.129524201
C6orf204	other	-0.354706667	0.455100952
C6orf208	other	0.207473333	0.762771323
C6orf211	other	0.03345	0.949621029
C6orf218	other	-0.50732	0.239338787
C6orf221	other	-0.07115	0.370982557
C6orf222	other	-0.75827	0.501559295
C6orf223	other	0.604216667	0.559847297
C6orf225	other	0.232193333	0.658229071
C6orf226	other	-0.04961	0.943405631
C6orf25	other	-0.02849	0.975834265
C6orf27	other	-0.112993333	0.926354365
C6orf35	other	-0.280046667	0.170429704
C6orf47	other	0.009976667	1
C6orf48	other	0.082013333	0.91167817
C6orf52	other	0.176536667	0.89163338
C6orf57	other	0.029593333	0.981776542
C6orf58	other	-0.09692	0.774656003
C6orf62	other	0.019926667	0.97900087
C6orf64	other	0.17716	0.504827283
C6orf70	other	-0.198976667	0.374948934
C6orf72	other	0.102776667	0.75447686
C6orf81	other	-0.295283333	0.649942368
C6orf89	other	0.19976	0.382447081
C6orf94	other	-0.024116667	0.967050031
C6orf97	other	0.0494	1
C7	other	0.644626667	0.578731004
C7orf10	other	0.25737	0.776059454
C7orf11	other	-0.2569	0.353813335
C7orf13	other	0.28158	0.67457985
C7orf23	other	0.2522	0.59765735
C7orf25	other	-0.246173333	0.446795204
C7orf26	other	0.10376	0.65439066
C7orf29	other	-0.074753333	0.898980062
C7orf30	other	-0.05461	0.893441966
C7orf31	other	0.03768	0.981487335
C7orf33	other	0.005956667	1
C7orf34	other	-0.132826667	0.446795204
C7orf36	other	-0.129076667	0.70632853
C7orf40	other	0.174593333	0.769579403
C7orf41	other	0.16407	0.825748059
C7orf42	other	-0.024756667	0.947183927
C7orf43	other	-0.447686667	0.07483117
C7orf44	other	0.00928	1
C7orf45	other	0.030946667	0.831428211
C7orf46	other	0.271603333	0.475255722
C7orf49	other	-0.48184	0.030045764
C7orf50	other	0.13256	0.813888
C7orf51	other	0.05169	0.971061467
C7orf52	other	0.407396667	0.569356831
C7orf53	other	-0.183793333	0.753488533
C7orf54	other	-0.408153333	0.313685276
C7orf55	other	-0.272053333	0.480362412
C7orf57	other	1.48626	0.076478178
C7orf58	other	0.30741	0.660260688
C7orf59	other	-0.316296667	0.387773943
C7orf60	other	0.282256667	0.318906536
C7orf61	other	0.242996667	0.692407454
C7orf63	other	-0.249236667	0.667399959
C7orf64	other	-0.076516667	0.793975713
C7orf65	other	-0.095593333	0.521026459
C7orf66	other	0	1
C7orf69	other	-0.159466667	0.525856516
C7orf70	other	-0.007193333	1
C7orf71	other	-0.169843333	0.373327225
C7orf72	other	0.00285	1
C8A	other	-1.174033333	0.192570647
C8B	other	0.294313333	0.89195914
C8G	other	-2.0231	0.00264283
C8orf12	other	-0.316883333	0.308549743
C8orf22	other	0.05702	0.384503806
C8orf31	other	0.556643333	0.478051837
C8orf33	other	0.297306667	0.298624329
C8orf34	other	0.55397	0.443620883
C8orf37	other	0.09037	0.885251826
C8orf38	other	0.131903333	0.796080408
C8orf39	other	0.217346667	0.64889353
C8orf4	other	0.035323333	1
C8orf40	other	-0.216443333	0.466854552
C8orf42	other	0.34463	0.525081059
C8orf44	other	0.220773333	0.642515427
C8orf45	other	0.441116667	0.280384881
C8orf46	other	1.006286667	0.109836202
C8orf47	other	-0.995613333	0.348479712
C8orf48	other	0.490506667	0.310251949
C8orf51	other	0.015663333	1
C8orf55	other	-0.008026667	1
C8orf56	other	0.05548	0.982024954
C8orf58	other	-0.403923333	0.084873171
C8orf59	other	0.327796667	0.369956009
C8orf71	other	0.023753333	0.67780217
C8orf73	other	0.16145	0.895446637
C8orf74	other	-0.095393333	0.696818985
C8orf75	other	-1.09025	0.096515764
C8orf77	other	-0.163286667	0.815727181
C8orf80	other	-0.22385	0.809843503
C8orf83	other	0.386093333	0.240248059
C8orf84	other	0.130436667	0.918017708
C8orf85	other	0.861126667	0.272107936
C8orf86	other	0.005293333	1
C8ORFK29	other	0.17269	0.805529127
C9	other	-0.299476667	0.396351765
C9orf100	other	-0.42833	0.324617663
C9orf102	other	0.332086667	0.379078298
C9orf103	other	-0.130973333	0.823163343
C9orf106	other	0.25594	0.560531589
C9orf11	other	0.06115	0.899081609
C9orf114	other	-0.071603333	0.863001556
C9orf116	other	-0.269313333	0.689860501
C9orf117	other	0.113043333	0.9528431
C9orf123	other	-0.05877	0.927441836
C9orf125	other	-1.09866	0.155464095
C9orf128	other	0.294236667	0.652474443
C9orf129	other	0.240376667	0.607422153
C9orf131	other	0.160253333	0.768653851
C9orf135	other	0.137213333	0.970744098
C9orf139	other	-0.382593333	0.573400195
C9orf140	other	-0.501893333	0.401843755
C9orf142	other	-0.185663333	0.69885131
C9orf150	other	0.08585	0.886226525
C9orf152	other	-0.40036	0.714641606
C9orf153	other	0.003206667	1
C9orf156	other	-0.298356667	0.162399405
C9orf16	other	-0.36522	0.386238069
C9orf163	other	-0.274383333	0.658587294
C9orf167	other	-0.178463333	0.732416874
C9orf169	other	-1.40467	0.058073434
C9orf170	other	0.019196667	1
C9orf171	other	0.426483333	0.761948722
C9orf172	other	-0.098466667	0.937462625
C9orf173	other	0.708053333	0.475798906
C9orf21	other	-0.12729	0.748759449
C9orf23	other	-0.26702	0.414142323
C9orf24	other	-0.043573333	1
C9orf25	other	0.178053333	0.550521046
C9orf3	other	0.0779	0.903685049
C9orf30	other	-0.200376667	0.480510544
C9orf37	other	-0.195836667	0.58271469
C9orf4	other	0.085243333	0.90413175
C9orf40	other	-0.411743333	0.302188695
C9orf41	other	-0.194776667	0.628160216
C9orf43	other	-0.40016	0.394795262
C9orf46	other	0.106493333	0.843549335
C9orf47	other	-0.44702	0.314065689
C9orf5	other	0.47617	0.042544132
C9orf50	other	-0.15453	0.644851858
C9orf53	other	0.165606667	0.710032855
C9orf57	other	-0.053476667	0.777586928
C9orf64	other	0.090106667	0.80383269
C9orf66	other	-0.47456	0.402730853
C9orf68	other	0.344886667	0.683641572
C9orf69	other	-0.18284	0.5332983
C9orf7	other	0.29717	0.501586821
C9orf71	other	0.34665	0.246740149
C9orf72	other	0.10081	0.806289973
C9orf78	other	-0.042663333	0.896007522
C9orf79	other	0.173373333	0.732869354
C9orf80	other	0.193903333	0.409483378
C9orf82	other	-0.11718	0.735247469
C9orf84	other	-0.94414	0.245589078
C9orf85	other	-0.40778	0.10155315
C9orf86	other	-0.088836667	0.814485766
C9orf89	other	-0.174766667	0.677561555
C9orf9	other	-0.176693333	0.764927987
C9orf91	other	-0.102813333	0.827464978
C9orf93	other	0.55344	0.124600595
C9orf95	other	-0.610623333	0.03289043
C9orf96	other	-0.030523333	1
CA1	other	-0.093603333	0.809857716
CA10	other	2.06306	0.049247874
CA11	other	1.136343333	0.058493375
CA12	other	-1.862753333	0.067125206
CA13	other	0.24601	0.699669103
CA14	other	0.18996	0.805418193
CA2	other	-0.236656667	0.811473714
CA3	other	0.109303333	0.961411401
CA4	other	0.74109	0.508673972
CA5A	other	-0.447976667	0.557105257
CA5B	other	0.093156667	0.774656003
CA6	other	-0.31512	0.656736223
CA7	other	0.348256667	0.532617398
CA8	other	-0.875076667	0.437038484
CA9	other	-0.950326667	0.559869226
CAB39	other	0.09318	0.791570617
CAB39L	other	0.09104	0.839870583
CABIN1	PP	0.292203333	0.371396634
CABLES1	other	0.487673333	0.416555103
CABLES2	other	0.101623333	0.842634571
CABP1	other	0.144313333	0.856566677
CABP2	other	0	1
CABP4	other	-0.852483333	0.290871504
CABP5	other	-0.0405	0.498763993
CABP7	other	-0.1308	0.898826733
CABYR	other	-1.414726667	0.160140124
CACHD1	other	0.75988	0.315105977
CACNA1A	other	-0.160366667	0.767681544
CACNA1B	other	0.74297	0.532866178
CACNA1C	other	-0.46313	0.346314351
CACNA1D	other	0.980023333	0.307135859
CACNA1E	other	-0.711296667	0.22001267
CACNA1F	other	0.010876667	1
CACNA1G	other	1.214283333	0.061724295
CACNA1H	other	-0.717853333	0.282077179
CACNA1I	other	-0.57124	0.536108412
CACNA1S	other	-0.217293333	0.627214479
CACNA2D1	other	-0.17449	0.901628963
CACNA2D2	other	0.852923333	0.531099059
CACNA2D3	other	0.052106667	0.991321837
CACNA2D4	other	-0.299913333	0.472904887
CACNB1	other	1.292506667	0.012855538
CACNB2	other	-0.959073333	0.13020801
CACNB3	other	0.691373333	0.091759446
CACNB4	other	0.225983333	0.794716296
CACNG1	other	0.07648	0.925721294
CACNG2	other	-0.02873	0.720358103
CACNG3	other	-0.326853333	0.07094116
CACNG4	other	0.672546667	0.680046198
CACNG5	other	0.065283333	0.909667316
CACNG6	other	0.016316667	1
CACNG7	other	0.05434	0.952909161
CACNG8	other	0.11581	0.796473243
CACYBP	other	-0.114803333	0.746202084
CAD	other	0.038133333	0.969536667
CADM1	other	0.98762	0.067043175
CADM2	other	0.12613	0.94356735
CADM3	other	-0.34526	0.677110652
CADM4	other	0.572426667	0.198359432
CADPS	other	0.14914	0.908317308
CADPS2	other	0.282913333	0.530149354
CAGE1	other	-0.35783	0.588702245
CALB1	other	-0.44857	0.74978483
CALB2	other	-0.283456667	0.874528437
CALCA	other	-1.757073333	0.554755299
CALCB	other	-0.257696667	0.905885335
CALCOCO1	other	0.14173	0.766790952
CALCOCO2	other	0.166143333	0.547418715
CALCR	other	0.7387	0.432989471
CALCRL	other	-0.09784	0.886812614
CALD1	other	-0.22047	0.619022353
CALHM1	other	0.22873	0.607450783
CALHM2	other	-0.261323333	0.533253214
CALHM3	other	-0.404976667	0.470154644
CALM1	other	0.062646667	0.875577873
CALM2	other	0.247526667	0.244930732
CALM3	other	0.23438	0.344899541
CALML3	other	-0.0084	1
CALML4	other	-0.31427	0.423922379
CALML5	other	-0.1513	0.951161527
CALML6	other	-0.534136667	0.272583915
CALN1	other	0.028833333	0.989400518
CALR	other	-0.00817	1
CALR3	other	0.133303333	0.710540052
CALU	other	-0.319226667	0.310074654
CALY	other	0.246733333	0.870384969
CAMK1	other	0.568216667	0.032280976
CAMK1D	other	1.010666667	0.114539502
CAMK1G	other	-0.430993333	0.417362289
CAMK2A	other	0.148283333	0.878404766
CAMK2B	other	0.98943	0.210899314
CAMK2D	other	0.83646	0.005428615
CAMK2G	other	0.212883333	0.395862808
CAMK2N1	other	-0.43008	0.622553753
CAMK2N2	other	-0.497696667	0.485033883
CAMK4	other	-0.368116667	0.460564769
CAMKK1	other	-0.02909	0.993995394
CAMKK2	other	-0.057723333	0.831769124
CAMKV	other	0.039826667	0.9528431
CAMLG	other	0.341633333	0.138996605
CAMP	other	-0.2775	0.733058358
CAMSAP1	other	0.35616	0.187101499
CAMTA1	other	0.354976667	0.122014186
CAMTA2	other	0.195856667	0.449471332
CAND1	other	0.055176667	0.884668576
CAND2	other	0.97384	0.035615982
CANT1	other	0.045703333	0.947438856
CANX	other	-0.056833333	0.875745292
CAP1	other	-0.053973333	0.852042492
CAP2	other	0.023913333	1
CAPG	other	-0.090833333	0.894864643
CAPN1	other	0.1517	0.623846551
CAPN10	other	-0.139146667	0.79913486
CAPN11	other	-0.644403333	0.106186062
CAPN12	other	0.444736667	0.556873151
CAPN13	other	-0.041726667	1
CAPN14	other	-1.664556667	0.035900239
CAPN2	other	0.353893333	0.151428163
CAPN3	other	0.09002	0.971671592
CAPN5	other	-0.323743333	0.649725238
CAPN6	other	-0.075573333	1
CAPN7	other	0.207053333	0.270939269
CAPN8	other	-0.008176667	1
CAPN9	other	-0.935706667	0.493221495
CAPNS1	other	-0.179016667	0.444558511
CAPNS2	other	0.155316667	0.894406236
CAPRIN1	other	0.077336667	0.733941077
CAPRIN2	other	0.01232	1
CAPS	other	0.28641	0.854088026
CAPS2	other	-0.098256667	0.908258706
CAPSL	other	0.25377	0.898980062
CAPZA1	other	-0.344643333	0.069846551
CAPZA2	other	-0.05681	0.909400813
CAPZA3	other	0.188233333	0.721941923
CAPZB	other	-0.0656	0.824470899
CARD10	other	0.244623333	0.739141026
CARD11	other	-0.098636667	0.939431506
CARD14	other	-1.93113	0.013892991
CARD16	other	-0.563036667	0.20589023
CARD17	other	-0.535346667	0.269566399
CARD18	other	0.094166667	0.65447228
CARD6	other	-0.956006667	0.002456354
CARD8	other	-0.236216667	0.348938637
CARD9	other	-0.15549	0.877482826
CARHSP1	other	-0.37165	0.134625611
CARKD	other	-0.290136667	0.380537314
CARM1	other	-0.071236667	0.799745553
CARNS1	other	0.468073333	0.586036888
CARS	other	-0.110033333	0.678361879
CARS2	other	-0.151523333	0.578067387
CARTPT	other	0.043993333	0.956036484
CASC1	other	0.691386667	0.416555103
CASC2	other	0.436933333	0.290362585
CASC3	other	0.411716667	0.020847634
CASC4	other	-0.06637	0.854449878
CASC5	other	-0.58837	0.314855779
CASD1	other	0.566616667	0.017768754
CASK	other	0.082123333	0.891691811
CASKIN1	other	0.019976667	1
CASKIN2	other	0.05017	0.958769866
CASP1	other	-0.650216667	0.13685007
CASP10	other	0.11512	0.773830863
CASP12	other	-0.157373333	0.780067804
CASP14	other	-1.076516667	0.106186062
CASP2	other	-0.074923333	0.852777649
CASP3	other	-0.285	0.134343005
CASP4	other	-0.31134	0.422271254
CASP5	other	-1.022863333	0.037713992
CASP6	other	-0.211126667	0.520878056
CASP7	other	-0.204023333	0.532617398
CASP8	other	0.020336667	0.992010442
CASP8AP2	other	0.1261	0.755481201
CASP9	other	-0.578136667	0.058322711
CASQ1	other	0.02641	1
CASQ2	other	0.61831	0.459817705
CASR	other	0.633433333	0.526206972
CASS4	other	0.263746667	0.701364263
CAST	other	0.048326667	0.903489941
CASZ1	other	-0.25127	0.689860501
CAT	other	0.196396667	0.623499009
CATSPER1	other	0.71944	0.393193376
CATSPER2	other	-0.118196667	0.891500917
CATSPER3	other	-0.156826667	0.768265883
CATSPER4	other	0.099006667	0.533413832
CATSPERB	other	-2.15378	0.018421852
CATSPERG	other	-0.015033333	1
CAV1	other	-0.311153333	0.67780217
CAV2	other	-0.251856667	0.700083636
CAV3	other	0.34158	0.582261361
CBFA2T2	other	0.067906667	0.867196315
CBFA2T3	other	-0.492403333	0.392323696
CBFB	other	0.010853333	1
CBL	other	0.07444	0.881120805
CBLB	other	-0.179903333	0.490779696
CBLC	other	-0.74942	0.381252463
CBLL1	other	0.018986667	0.990148571
CBLN1	other	0.84905	0.446709042
CBLN2	other	-0.21228	0.873045235
CBLN3	other	-0.156883333	0.734805207
CBLN4	other	0.36168	0.651928113
CBR1	other	-0.71772	0.331311279
CBR3	other	-1.58653	0.012267397
CBR4	other	-0.084283333	0.823163343
CBS	other	-0.272126667	0.818874255
CBWD5	other	-0.092343333	0.934689146
CBX1	other	0.46329	0.054180202
CBX2	other	-1.357226667	0.0498436
CBX3	other	-0.089163333	0.785455667
CBX4	other	-0.021943333	0.996069258
CBX5	other	0.098123333	0.814364041
CBX6	other	0.731523333	0.121932509
CBX7	other	0.25801	0.636185493
CBX8	other	-0.204873333	0.474308912
CBY1	other	0.38696	0.166252712
CC2D1A	other	0.145616667	0.692708168
CC2D1B	other	-0.061923333	0.849222901
CC2D2A	other	0.059216667	0.93864448
CC2D2B	other	-0.093746667	0.883120784
CCAR1	other	-0.053036667	0.85880685
CCBE1	other	0.49162	0.604784333
CCBL1	other	-0.011246667	1
CCBL2	other	-0.041176667	0.947731102
CCBP2	other	-0.5557	0.56287205
CCDC101	other	0.14595	0.629798991
CCDC102A	other	0.411133333	0.320277498
CCDC102B	other	-0.36318	0.309588867
CCDC103	other	0.177183333	0.749971456
CCDC104	other	0.341983333	0.072802423
CCDC105	other	0	1
CCDC106	other	-0.101263333	0.882085904
CCDC107	other	-0.025163333	0.991123751
CCDC108	other	0.193176667	0.921896823
CCDC109B	other	-0.251513333	0.701059845
CCDC11	other	-0.127083333	0.927590519
CCDC110	other	-0.30387	0.596939534
CCDC111	other	0.000243333	1
CCDC112	other	0.315443333	0.12832199
CCDC113	other	-0.206056667	0.821873141
CCDC114	other	1.03374	0.164104633
CCDC115	other	0.200873333	0.290871504
CCDC116	other	-0.069223333	0.927366808
CCDC117	other	0.331523333	0.184656058
CCDC12	other	-0.018186667	1
CCDC120	other	-0.10272	0.895048105
CCDC121	other	0.291996667	0.265180219
CCDC122	other	-0.122873333	0.846281183
CCDC124	other	0.055653333	0.952287075
CCDC125	other	0.009443333	1
CCDC126	other	0.11876	0.746202084
CCDC127	other	-0.020983333	0.972806141
CCDC129	other	0.904986667	0.550894569
CCDC13	other	0.323246667	0.6010947
CCDC130	other	-0.16541	0.673063494
CCDC132	other	-0.133396667	0.525273907
CCDC134	other	-0.195816667	0.527123465
CCDC135	other	0.2322	0.890469113
CCDC136	other	-0.071403333	0.953704522
CCDC137	other	-0.213796667	0.443620883
CCDC138	other	-0.200806667	0.699595841
CCDC14	other	0.35981	0.37975074
CCDC140	other	-0.05108	0.498763993
CCDC141	other	-0.005043333	1
CCDC142	other	0.09033	0.807142949
CCDC144A	other	0.574856667	0.546834503
CCDC144B	other	0.601296667	0.499579187
CCDC144C	other	0.128616667	0.727880852
CCDC144NL	other	-0.076146667	0.866197203
CCDC146	other	-0.270406667	0.740151183
CCDC147	other	-0.42354	0.651379907
CCDC148	other	0.553556667	0.377999843
CCDC149	other	-0.127046667	0.767312175
CCDC15	other	0.27093	0.606105557
CCDC150	other	-0.587186667	0.289088857
CCDC151	other	0.152733333	0.914289956
CCDC152	other	-0.175806667	0.773103043
CCDC153	other	0.452826667	0.519483176
CCDC154	other	-0.104763333	0.962854243
CCDC155	other	0.237846667	0.733201495
CCDC157	other	0.092683333	0.942293634
CCDC158	other	0.714203333	0.210711833
CCDC159	other	-0.20942	0.664971387
CCDC160	other	-1.0146	0.250555793
CCDC163P	other	-0.187913333	0.733871963
CCDC17	other	-0.1538	0.934518126
CCDC18	other	-0.163066667	0.766818319
CCDC19	other	0.622693333	0.459817705
CCDC22	other	-0.084976667	0.735247469
CCDC23	other	0.203013333	0.415830336
CCDC24	other	-0.17336	0.799846488
CCDC25	other	-0.27749	0.104823596
CCDC27	other	0.063833333	0.744497435
CCDC28A	other	0.15617	0.585451205
CCDC28B	other	0.054203333	0.95611729
CCDC3	other	-0.27914	0.570072777
CCDC30	other	0.337706667	0.509714167
CCDC33	other	0.143506667	0.957733488
CCDC34	other	-0.26663	0.538743437
CCDC36	other	-0.34073	0.498745575
CCDC37	other	0.321263333	0.800613696
CCDC38	other	0.125916667	0.621677115
CCDC39	other	0.306493333	0.700243753
CCDC40	other	0.0563	0.980983521
CCDC41	other	0.176216667	0.587624953
CCDC42	other	0.140286667	0.689930878
CCDC42B	other	-0.03566	1
CCDC43	other	0.202906667	0.205893273
CCDC47	other	0.281506667	0.188083994
CCDC48	other	0.372343333	0.602294589
CCDC50	other	-0.31909	0.203841333
CCDC51	other	-0.194613333	0.544159037
CCDC53	other	-0.18392	0.439321278
CCDC54	other	0.055293333	0.858033492
CCDC56	other	0.138823333	0.693838401
CCDC57	other	-0.136936667	0.818905585
CCDC58	other	-0.30676	0.319177047
CCDC59	other	0.002463333	1
CCDC6	other	0.15642	0.584178849
CCDC60	other	-0.0384	1
CCDC61	other	-0.04927	0.958653729
CCDC62	other	0.07448	0.926953651
CCDC63	other	-0.07598	0.615399224
CCDC64	other	-0.86534	0.146737888
CCDC64B	other	-0.222143333	0.846644445
CCDC65	other	-0.064843333	0.991321837
CCDC66	other	0.186223333	0.595978774
CCDC67	other	0.656353333	0.368402387
CCDC68	other	-0.180086667	0.854449878
CCDC69	other	-0.479046667	0.099868466
CCDC7	other	0.122443333	0.681839913
CCDC70	other	0.06907	0.67315165
CCDC71	other	0.047416667	0.905885335
CCDC72	other	0.121743333	0.762243117
CCDC73	other	0.12053	0.775725217
CCDC75	other	0.310086667	0.5332983
CCDC76	other	0.01418	1
CCDC77	other	-0.417463333	0.164179473
CCDC78	other	-0.82386	0.393193376
CCDC79	other	-0.06825	0.816435019
CCDC8	other	0.108026667	0.910514728
CCDC80	other	-0.310843333	0.627436479
CCDC81	other	-0.183263333	0.84066316
CCDC82	other	0.028656667	0.978332744
CCDC83	other	0.053303333	0.805372598
CCDC84	other	0.085353333	0.912989728
CCDC85A	other	0.218336667	0.770903042
CCDC85B	other	-0.298463333	0.692708168
CCDC85C	other	-0.097246667	0.863011991
CCDC86	other	-0.144813333	0.638976765
CCDC87	other	-0.071983333	0.923747462
CCDC88A	other	0.236126667	0.587955073
CCDC88B	other	-0.680846667	0.138211748
CCDC88C	other	0.056813333	0.958769866
CCDC89	other	0.138633333	0.862852361
CCDC9	other	-0.024066667	1
CCDC90A	other	-0.082043333	0.800148736
CCDC90B	other	-0.584963333	0.072570375
CCDC91	other	0.269986667	0.24926314
CCDC92	other	0.252713333	0.393193376
CCDC93	other	-0.005366667	1
CCDC94	other	0.006766667	1
CCDC96	other	-0.335203333	0.554699625
CCDC97	other	0.072733333	0.716271771
CCDC99	other	-0.338056667	0.312452805
CCHCR1	other	0.083043333	0.878033845
CCIN	other	-0.41047	0.502682304
CCK	other	-1.583543333	0.049239543
CCKAR	other	0.270076667	0.526749471
CCKBR	other	0.02336	1
CCL1	other	-0.05389	0.983425094
CCL11	other	-0.653793333	0.410013566
CCL13	other	0.402243333	0.711761333
CCL16	other	-0.196563333	0.668256052
CCL17	other	0.464673333	0.64806929
CCL18	other	-0.849126667	0.21006291
CCL19	other	-0.323006667	0.773078174
CCL2	other	-0.51537	0.307420318
CCL20	other	-1.38557	0.166627881
CCL21	other	-1.238756667	0.023795622
CCL22	other	-0.79071	0.298982496
CCL23	other	-0.05489	0.997788613
CCL24	other	-0.409516667	0.653452935
CCL25	other	-0.338056667	0.591449658
CCL26	other	-0.86405	0.19632903
CCL27	other	0.05498	0.827950382
CCL28	other	0.386266667	0.631196938
CCL3	other	-0.55009	0.350962333
CCL4	other	-0.542956667	0.366875031
CCL5	other	-0.89744	0.096725916
CCL7	other	-0.63541	0.532836444
CCL8	other	-0.980873333	0.172632224
CCM2	other	-0.122086667	0.773423095
CCNA1	other	-0.652813333	0.568725002
CCNA2	other	-0.6354	0.231334477
CCNB1	other	-0.57754	0.276657214
CCNB1IP1	other	0.342893333	0.422271254
CCNB2	other	-0.683716667	0.198192496
CCNB3	other	-0.625973333	0.216696352
CCNC	other	-0.27076	0.419930223
CCND1	other	0.591033333	0.212410028
CCND2	other	-0.35153	0.297837285
CCND3	other	0.01057	1
CCNDBP1	other	0.11315	0.778008684
CCNE1	other	-0.91863	0.104838031
CCNE2	other	-0.03053	1
CCNF	other	-0.104313333	0.866842519
CCNG1	other	0.398576667	0.246324864
CCNG2	other	0.348266667	0.161660127
CCNH	other	0.092906667	0.733201495
CCNI	other	0.361793333	0.096173514
CCNI2	other	-0.318603333	0.75508233
CCNJ	other	0.03944	0.9547573
CCNJL	other	0.819336667	0.147630962
CCNK	other	0.03429	0.94002627
CCNL1	other	0.223583333	0.553899174
CCNL2	other	-0.188296667	0.762509686
CCNO	other	-0.197553333	0.89020483
CCNT1	other	0.44681	0.376265632
CCNT2	other	0.207116667	0.277805019
CCNY	other	0.29919	0.052109623
CCNYL1	other	0.209276667	0.478051837
CCPG1	other	-0.089123333	0.861941248
CCR1	other	-0.218846667	0.707696439
CCR10	other	0.204433333	0.853207334
CCR2	other	0.254626667	0.719696282
CCR3	other	-0.695196667	0.147394546
CCR4	other	-0.112573333	0.933329785
CCR5	other	-0.42038	0.416315088
CCR6	other	-0.076193333	0.958425544
CCR7	other	-0.783033333	0.169271799
CCR9	other	0.306773333	0.677640099
CCRL1	other	-0.726576667	0.221043571
CCRL2	other	-0.247826667	0.696781745
CCRN4L	other	-0.381183333	0.290871504
CCS	other	-0.04558	0.958489752
CCT2	other	-0.008836667	1
CCT3	other	-0.20146	0.531114137
CCT4	other	-0.07917	0.840746251
CCT5	other	-0.175933333	0.560738141
CCT6A	other	-0.152093333	0.640655951
CCT6B	other	-0.348403333	0.56287205
CCT7	other	-0.031493333	0.947338991
CCT8	other	-0.15071	0.5332983
CCT8L2	other	-0.01124	0.984488211
CD101	other	0.125806667	0.872770482
CD109	other	-0.109033333	0.955852981
CD14	other	-0.500053333	0.341135086
CD151	other	-0.020193333	1
CD160	other	-0.23724	0.621415118
CD163	other	-0.380816667	0.625782887
CD163L1	other	-0.80387	0.188200889
CD164	other	0.007	1
CD164L2	other	-0.26788	0.80997723
CD177	other	-1.11596	0.231957256
CD180	other	-0.219633333	0.720312818
CD19	other	-0.955286667	0.306462889
CD1A	other	1.06708	0.35561841
CD1B	other	0.862876667	0.326076659
CD1C	other	0.713146667	0.383516163
CD1D	other	-0.223456667	0.684783163
CD1E	other	0.71317	0.46949156
CD2	other	-0.632646667	0.21654418
CD200	other	-0.826466667	0.002203208
CD200R1	other	0.05662	0.983425094
CD200R1L	other	0.057906667	0.855020951
CD207	other	2.384263333	0.02670472
CD209	other	-0.16145	0.865309524
CD22	other	-0.431443333	0.572474014
CD226	other	-0.340513333	0.583200107
CD24	other	-0.40753	0.610111277
CD244	other	-0.578013333	0.28529754
CD247	other	-0.77031	0.075073859
CD248	other	-0.500806667	0.171501351
CD27	other	-0.36681	0.618684204
CD274	other	-0.142473333	0.917830718
CD276	other	-0.25982	0.335273589
CD28	other	-0.344436667	0.555614834
CD2AP	other	0.069073333	0.903636572
CD2BP2	other	0.008326667	1
CD300A	other	-0.30897	0.538249302
CD300C	other	-0.071396667	0.971715528
CD300E	other	-0.321003333	0.651868273
CD300LB	other	-0.26586	0.635000003
CD300LF	other	-0.216393333	0.748824121
CD300LG	other	0.343386667	0.729328914
CD320	other	0.070306667	0.934518126
CD33	other	0.024713333	1
CD34	other	-0.44978	0.162666692
CD36	other	-0.283426667	0.701364263
CD37	other	-0.406836667	0.379078298
CD38	other	-1.409513333	0.005295466
CD3D	other	-0.746956667	0.13020801
CD3E	other	-0.737846667	0.124476805
CD3EAP	other	0.086353333	0.805507483
CD3G	other	-0.33192	0.674372008
CD4	other	-0.157963333	0.783442848
CD40	other	-0.206956667	0.75508233
CD40LG	other	-0.332633333	0.658587294
CD44	other	-0.239356667	0.669054936
CD46	other	-0.087393333	0.87044253
CD47	other	0.458376667	0.129651524
CD48	other	-0.713913333	0.215852144
CD5	other	-0.58829	0.263687478
CD52	other	-0.334096667	0.585591658
CD53	other	-0.37038	0.423418794
CD55	other	0.428113333	0.482092907
CD58	other	-0.452463333	0.100633816
CD59	other	0.294593333	0.471014457
CD5L	other	0.319773333	0.650072384
CD6	other	-0.6893	0.177603377
CD63	other	0.231663333	0.402419292
CD68	other	-0.507453333	0.202752057
CD69	other	-0.13776	0.897253288
CD7	other	-0.912586667	0.08711139
CD70	other	-0.66094	0.358323387
CD72	other	-0.854776667	0.074877068
CD74	other	-0.205813333	0.759548644
CD79A	other	-0.33949	0.765713385
CD79B	other	-0.754683333	0.213864756
CD80	other	-0.00467	1
CD81	other	-0.066396667	0.905885335
CD82	other	-0.24341	0.672410579
